[2025-07-30 07:41:27] =========================================
[2025-07-30 07:41:31] ℹ️ 提取设备：bananapi（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：bpi-rv2（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：booting（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：from（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：nand（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：bananapi-bpi-rv2-nand（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21h8898（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：spi-nand（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：linux-ubi（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：mac-base（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：nor（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：bananapi-bpi-rv2-nor（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：denx-fit（芯片：rv2）
[2025-07-30 07:41:31] ℹ️ 提取设备：mti-interaptiv（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-gmac（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：snps-dwmac（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：snps-dwmac-mdio（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-rf（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：arm-pl022（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-clk（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：simple-mfd（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：syscon-reboot（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-usb-phy（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-pinctrl（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：mti-gic（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：mti-gic-timer（芯片：sf19a2890-gmac）
[2025-07-30 07:41:31] ℹ️ 提取设备：profiles（芯片：siflower）
[2025-07-30 07:41:31] ℹ️ 提取设备：default（芯片：siflower）
[2025-07-30 07:41:31] ℹ️ 提取设备：device-name（芯片：siflower）
[2025-07-30 07:41:32] ℹ️ 提取设备：cd（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：tmp（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：tar（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：sortname（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：owner0（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：group0（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：numeric-owner（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：czf（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：readmemd（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：device-driversjson（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：dts（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：scripts（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：sync-logs（芯片：gemini）
[2025-07-30 07:41:32] ℹ️ 提取设备：realtek-rtl838x-mdio（芯片：rtl838x-mdio）
[2025-07-30 07:41:32] ℹ️ 提取设备：d-link（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：dgs-1210-28（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：d-link-dgs-1210-28（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：realtek-rtl838x-soc（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：dgs-1210-10p（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：d-link-dgs-1210-10p（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：i2c-gpio（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：sff-sfp（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：dgs-1210-20（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：d-link-dgs-1210-20（芯片：rtl838x-soc）
[2025-07-30 07:41:32] ℹ️ 提取设备：zyxel（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：gs1900-24（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：v1（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：zyxel-gs1900-24-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：hpe（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：1920-16g（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：jg923a（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：hpe-1920-16g（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：netgear（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：gs308t（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：netgear-gs308t-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：hasivo（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：s1100w-8xgt-se（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：hasivo-s1100w-8xgt-se（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl930x-soc（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-leds（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：openwrt-uimage（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：ethernet-phy-ieee8023-c45（芯片：rtl930x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：tp-link（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：sg2008p（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：tplink-sg2008p-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：gs110tup（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：netgear-gs110tup-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：dgs-1210-52（芯片：rtl8393-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：d-link-dgs-1210-52（芯片：rtl8393-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl8393-soc（芯片：rtl8393-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：gpio-restart（芯片：gpio）
[2025-07-30 07:41:33] ℹ️ 提取设备：ti-tps23861（芯片：gpio）
[2025-07-30 07:41:33] ℹ️ 提取设备：linux-wdt-gpio（芯片：gpio）
[2025-07-30 07:41:33] ℹ️ 提取设备：gs1900-24ep（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：switch（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：zyxel-gs1900-24ep（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：dgs-1210-28mp（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：f（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：d-link-dgs-1210-28mp-f（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl8382-soc（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：mips-mips34kc（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：mti-cpu-interrupt-controller（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-intc（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl-intc（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl8380-spi（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl930x-timer（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-otto-timer（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：ns16550a（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-wdt（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-gpio（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-otto-gpio（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-aux-mdio（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl9300-thermal（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：pinctrl-single（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl838x-eth（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl83xx-switch（芯片：rtl838x-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl8231（芯片：rtl8231-leds）
[2025-07-30 07:41:33] ℹ️ 提取设备：realtek-rtl8231-leds（芯片：rtl8231-leds）
[2025-07-30 07:41:33] ℹ️ 提取设备：apresia（芯片：rtl8382-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：apresialightgs120gt-ss（芯片：rtl8382-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：apresia-aplgs120gtss（芯片：rtl8382-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：gpio-keys-polled（芯片：rtl8382-soc）
[2025-07-30 07:41:33] ℹ️ 提取设备：1920-8g-poe（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：180w（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：jg922a（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：hpe-1920-8g-poe-180w（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：gpio-fan（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：panasonic（芯片：rtl8393-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：switch-m48eg（芯片：rtl8393-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：pn28480k（芯片：rtl8393-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：panasonic-m48eg-pn28480k（芯片：rtl8393-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：microchip-tcn75（芯片：rtl8393-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl839x-soc（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-clock（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：operating-points-v2（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-intc（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-timer（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-gpio（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-wdt（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-aux-mdio（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl8390-thermal（芯片：rtl839x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：gs110tpp（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：netgear-gs110tpp-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：h3c-vfs-firmware（芯片：gpio）
[2025-07-30 07:41:34] ℹ️ 提取设备：dgs-1210-10mp（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：d-link-dgs-1210-10mp-f（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：1920-24g-poe（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：jg925a（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：hpe-1920-24g-poe-180w（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：370w（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：jg926a（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：hpe-1920-24g-poe-370w（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：xgs1250-12（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：zyxel-xgs1250-12（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：realtek-rtl9300-i2c（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：sg2210p（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：v3（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：tplink-sg2210p-v3（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：1920-24g（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：jg924a（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：hpe-1920-24g（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：gs1900-10hp（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：zyxel-gs1900-10hp（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：dgs-1210-16（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：d-link-dgs-1210-16（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：gs1900-8（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：v2（芯片：rtl838x-soc）
[2025-07-30 07:41:34] ℹ️ 提取设备：zyxel-gs1900-8-v2（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：switch-m8eg（芯片：rtl8380-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：pn28080k（芯片：rtl8380-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：panasonic-m8eg-pn28080k（芯片：rtl8380-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-soc（芯片：rtl8380-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：i-o（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：data（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：bsh-g24mb（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：iodata-bsh-g24mb（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：gs108t（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：netgear-gs108t-v3（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：vimin（芯片：rtl930x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：vm-s100-0800ms（芯片：rtl930x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：vimin-vm-s100-0800ms（芯片：rtl930x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-i2c-mux-rtl9300（芯片：rtl930x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：engenius（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：ews2910p（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：engenius-ews2910p-v3（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：1920-8g（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：jg920a（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：hpe-1920-8g（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：sg2452p（芯片：rtl8393-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：v4（芯片：rtl8393-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：tplink-sg2452p-v4（芯片：rtl8393-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-clock（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：mips-mips4kec（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：virtual-mdio-gpio（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-intc（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-timer（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-wdt（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-gpio（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-aux-mdio（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：realtek-rtl8380-thermal（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：nxp-pca9555（芯片：nor）
[2025-07-30 07:41:35] ℹ️ 提取设备：nxp-pca9539（芯片：nor）
[2025-07-30 07:41:35] ℹ️ 提取设备：nxp-pca9545（芯片：nor）
[2025-07-30 07:41:35] ℹ️ 提取设备：engenius-ews2910p-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：gpio-export（芯片：rtl8231-leds）
[2025-07-30 07:41:35] ℹ️ 提取设备：linksys（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：lgs310c（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：linksys-lgs310c（芯片：rtl838x-soc）
[2025-07-30 07:41:35] ℹ️ 提取设备：i2c-gpio-shared（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：zyxel-gs1900-8-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：gs310tp（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：netgear-gs310tp-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：switch-m24eg（芯片：rtl8382-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：pn28240k（芯片：rtl8382-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：panasonic-m24eg-pn28240k（芯片：rtl8382-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：gs1900-24hp（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：zyxel-gs1900-24hp-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：allnet（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：all-sg8208m（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：allnet-all-sg8208m（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：1920-48g-poe（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：jg928a（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：hpe-1920-48g-poe（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：gs1900-8hp（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：zyxel-gs1900-8hp-v1（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：xikestor（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：sks8300-8x（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：xikestor-sks8300-8x（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：gs750e（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：netgear-gs750e（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：mtd-concat（芯片：rtl8393-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：tl-st1008f（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：v20（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：tplink-tl-st1008f-v2（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：nxp-pca9534（芯片：rtl930x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：dgs-1210-28p（芯片：rtl838x-soc）
[2025-07-30 07:41:36] ℹ️ 提取设备：d-link-dgs-1210-28p-f（芯片：rtl838x-soc）
